,q,cost
0,1e-05,10772.55399061033
1,1.1e-05,11218.234741784037
2,1.2e-05,11725.30985915493
3,1.3e-05,13162.544600938967
4,1.4e-05,15231.962441314554
5,1.5e-05,20129.779342723006
