,k_0,p_hi,g,q,s,cost
88,260,0.4,0.15,1.3e-05,0.65,1250780.4225352113
89,260,0.4,0.15,1.3e-05,0.7,883590.1455399061
90,260,0.45,0.15,1.3e-05,0.5,6163233.122065728
91,260,0.45,0.15,1.3e-05,0.55,3980045.1502347416
92,260,0.45,0.15,1.3e-05,0.6,2502430.9342723005
93,260,0.45,0.15,1.3e-05,0.65,1464256.1408450704
94,260,0.45,0.15,1.3e-05,0.7,731383.5680751174
95,260,0.5,0.15,1.3e-05,0.5,6264096.48826291
96,260,0.5,0.15,1.3e-05,0.55,3942480.6103286385
97,260,0.5,0.15,1.3e-05,0.6,2495842.3427230045
98,260,0.5,0.15,1.3e-05,0.65,1361577.9483568075
99,260,0.5,0.15,1.3e-05,0.7,753907.1314553991
100,280,0.3,0.15,1.3e-05,0.5,6715019.723004695
101,280,0.3,0.15,1.3e-05,0.55,4212911.976525822
102,280,0.3,0.15,1.3e-05,0.6,2757485.1784037556
103,280,0.3,0.15,1.3e-05,0.65,1439738.79342723
104,280,0.3,0.15,1.3e-05,0.7,848155.0046948356
105,280,0.35,0.15,1.3e-05,0.5,6565407.938967136
106,280,0.35,0.15,1.3e-05,0.55,4171541.6103286385
107,280,0.35,0.15,1.3e-05,0.6,2768606.58685446
108,280,0.35,0.15,1.3e-05,0.65,1524190.1830985916
109,280,0.35,0.15,1.3e-05,0.7,845435.5962441314
110,280,0.4,0.15,1.3e-05,0.5,6558034.849765258
111,280,0.4,0.15,1.3e-05,0.55,4463885.798122066
112,280,0.4,0.15,1.3e-05,0.6,2622706.1502347416
113,280,0.4,0.15,1.3e-05,0.65,1514279.868544601
114,280,0.4,0.15,1.3e-05,0.7,931015.9295774648
115,280,0.45,0.15,1.3e-05,0.5,6349998.563380281
116,280,0.45,0.15,1.3e-05,0.55,4533245.164319249
117,280,0.45,0.15,1.3e-05,0.6,2470888.76056338
118,280,0.45,0.15,1.3e-05,0.65,1564702.4131455398
119,280,0.45,0.15,1.3e-05,0.7,822264.3896713615
120,280,0.5,0.15,1.3e-05,0.5,7007660.6572769955
121,280,0.5,0.15,1.3e-05,0.55,4331484.892018779
122,280,0.5,0.15,1.3e-05,0.6,2676770.089201878
123,280,0.5,0.15,1.3e-05,0.65,1511438.0610328638
124,280,0.5,0.15,1.3e-05,0.7,833679.3943661972
125,300,0.3,0.15,1.3e-05,0.5,6868603.58685446
126,300,0.3,0.15,1.3e-05,0.55,4498726.079812206
127,300,0.3,0.15,1.3e-05,0.6,2685201.779342723
128,300,0.3,0.15,1.3e-05,0.65,1560130.145539906
129,300,0.3,0.15,1.3e-05,0.7,807620.3990610329
130,300,0.35,0.15,1.3e-05,0.5,7082314.690140845
131,300,0.35,0.15,1.3e-05,0.55,4718060.765258216
132,300,0.35,0.15,1.3e-05,0.6,2780164.835680751
133,300,0.35,0.15,1.3e-05,0.65,1526994.3474178403
134,300,0.35,0.15,1.3e-05,0.7,862992.7417840376
135,300,0.4,0.15,1.3e-05,0.5,6704263.690140845
136,300,0.4,0.15,1.3e-05,0.55,4574149.436619719
137,300,0.4,0.15,1.3e-05,0.6,2866125.572769953
138,300,0.4,0.15,1.3e-05,0.65,1484972.7887323943
139,300,0.4,0.15,1.3e-05,0.7,813741.1737089201
140,300,0.45,0.15,1.3e-05,0.5,6651532.55399061
141,300,0.45,0.15,1.3e-05,0.55,4265185.591549296
142,300,0.45,0.15,1.3e-05,0.6,2922375.539906103
143,300,0.45,0.15,1.3e-05,0.65,1435066.676056338
144,300,0.45,0.15,1.3e-05,0.7,859992.6948356808
145,300,0.5,0.15,1.3e-05,0.5,6546671.230046948
146,300,0.5,0.15,1.3e-05,0.55,4654414.671361502
147,300,0.5,0.15,1.3e-05,0.6,2758394.920187793
148,300,0.5,0.15,1.3e-05,0.65,1532745.8356807511
149,300,0.5,0.15,1.3e-05,0.7,966458.9530516432
