,k_0,p_hi,g,q,s,cost
89,100,0.2,0.15,1.3e-05,0.9,18254.68075117371
90,100,0.3,0.15,1.3e-05,0.1,6413.230046948357
91,100,0.3,0.15,1.3e-05,0.3,1799.469483568075
92,100,0.3,0.15,1.3e-05,0.5,3196.5915492957747
93,100,0.3,0.15,1.3e-05,0.7,7460.291079812207
94,100,0.3,0.15,1.3e-05,0.9,18762.8544600939
95,100,0.5,0.15,1.3e-05,0.1,6067.816901408451
96,100,0.5,0.15,1.3e-05,0.3,1736.1220657276995
97,100,0.5,0.15,1.3e-05,0.5,3320.3521126760565
98,100,0.5,0.15,1.3e-05,0.7,11189.910798122066
99,100,0.5,0.15,1.3e-05,0.9,17458.87323943662
100,200,0.05,0.15,1.3e-05,0.1,15025.49765258216
101,200,0.05,0.15,1.3e-05,0.3,7980.154929577465
102,200,0.05,0.15,1.3e-05,0.5,4619.403755868545
103,200,0.05,0.15,1.3e-05,0.7,6460.342723004695
104,200,0.05,0.15,1.3e-05,0.9,11133.18309859155
105,200,0.1,0.15,1.3e-05,0.1,13424.42723004695
106,200,0.1,0.15,1.3e-05,0.3,6617.169014084507
107,200,0.1,0.15,1.3e-05,0.5,4130.544600938967
108,200,0.1,0.15,1.3e-05,0.7,6475.342723004695
109,200,0.1,0.15,1.3e-05,0.9,14876.948356807512
110,200,0.2,0.15,1.3e-05,0.1,14632.718309859154
111,200,0.2,0.15,1.3e-05,0.3,6925.7276995305165
112,200,0.2,0.15,1.3e-05,0.5,4193.765258215963
113,200,0.2,0.15,1.3e-05,0.7,5067.723004694835
114,200,0.2,0.15,1.3e-05,0.9,11601.741784037558
115,200,0.3,0.15,1.3e-05,0.1,14394.638497652582
116,200,0.3,0.15,1.3e-05,0.3,6011.657276995305
117,200,0.3,0.15,1.3e-05,0.5,4561.75117370892
118,200,0.3,0.15,1.3e-05,0.7,6110.131455399061
119,200,0.3,0.15,1.3e-05,0.9,13115.338028169013
120,200,0.5,0.15,1.3e-05,0.1,13361.323943661971
121,200,0.5,0.15,1.3e-05,0.3,6481.840375586855
122,200,0.5,0.15,1.3e-05,0.5,3695.957746478873
123,200,0.5,0.15,1.3e-05,0.7,5415.427230046948
124,200,0.5,0.15,1.3e-05,0.9,13978.366197183099
125,300,0.05,0.15,1.3e-05,0.1,16070.150234741785
126,300,0.05,0.15,1.3e-05,0.3,9659.868544600939
127,300,0.05,0.15,1.3e-05,0.5,5032.826291079812
128,300,0.05,0.15,1.3e-05,0.7,6095.455399061033
129,300,0.05,0.15,1.3e-05,0.9,11540.760563380281
130,300,0.1,0.15,1.3e-05,0.1,14294.74647887324
131,300,0.1,0.15,1.3e-05,0.3,9001.62910798122
132,300,0.1,0.15,1.3e-05,0.5,5227.55868544601
133,300,0.1,0.15,1.3e-05,0.7,7798.366197183099
