,q,cost
0,1e-05,5125557.835680751
1,1.1e-05,2726064.056338028
2,1.2e-05,1094159.9765258215
3,1.3e-05,400405.3286384976
4,1.4e-05,689227.5915492958
5,1.5e-05,1526978.1361502348
