,k_0,p_hi,g,q,s,cost
89,100,0.2,0.15,1.3e-05,0.9,7939074.20657277
90,100,0.3,0.15,1.3e-05,0.1,25761787.483568076
91,100,0.3,0.15,1.3e-05,0.3,6695098.9342723
92,100,0.3,0.15,1.3e-05,0.5,1358961.9342723005
93,100,0.3,0.15,1.3e-05,0.7,2952414.563380282
94,100,0.3,0.15,1.3e-05,0.9,8052082.0281690145
95,100,0.5,0.15,1.3e-05,0.1,23592129.02347418
96,100,0.5,0.15,1.3e-05,0.3,6145657.680751174
97,100,0.5,0.15,1.3e-05,0.5,1285705.7136150235
98,100,0.5,0.15,1.3e-05,0.7,3231245.2582159624
99,100,0.5,0.15,1.3e-05,0.9,8579762.319248827
100,200,0.05,0.15,1.3e-05,0.1,59807626.957746476
101,200,0.05,0.15,1.3e-05,0.3,21015240.84976526
102,200,0.05,0.15,1.3e-05,0.5,5204764.882629108
103,200,0.05,0.15,1.3e-05,0.7,668290.882629108
104,200,0.05,0.15,1.3e-05,0.9,2395918.9577464787
105,200,0.1,0.15,1.3e-05,0.1,57889821.83098592
106,200,0.1,0.15,1.3e-05,0.3,20787484.723004695
107,200,0.1,0.15,1.3e-05,0.5,5055470.215962442
108,200,0.1,0.15,1.3e-05,0.7,707414.2582159624
109,200,0.1,0.15,1.3e-05,0.9,2552584.187793427
110,200,0.2,0.15,1.3e-05,0.1,56820037.41784038
111,200,0.2,0.15,1.3e-05,0.3,20626561.319248825
112,200,0.2,0.15,1.3e-05,0.5,4807572.9906103285
113,200,0.2,0.15,1.3e-05,0.7,710528.4600938967
114,200,0.2,0.15,1.3e-05,0.9,2624821.835680751
115,200,0.3,0.15,1.3e-05,0.1,56951128.91549296
116,200,0.3,0.15,1.3e-05,0.3,20147859.323943663
117,200,0.3,0.15,1.3e-05,0.5,4867255.873239436
118,200,0.3,0.15,1.3e-05,0.7,650231.7699530517
119,200,0.3,0.15,1.3e-05,0.9,2757446.7136150235
120,200,0.5,0.15,1.3e-05,0.1,55043843.30046948
121,200,0.5,0.15,1.3e-05,0.3,20592371.30516432
122,200,0.5,0.15,1.3e-05,0.5,4654878.535211268
123,200,0.5,0.15,1.3e-05,0.7,645339.896713615
124,200,0.5,0.15,1.3e-05,0.9,2670843.399061033
125,300,0.05,0.15,1.3e-05,0.1,68935965.35680752
126,300,0.05,0.15,1.3e-05,0.3,25589303.15492958
127,300,0.05,0.15,1.3e-05,0.5,7161253.201877934
128,300,0.05,0.15,1.3e-05,0.7,981338.014084507
129,300,0.05,0.15,1.3e-05,0.9,1878408.4178403756
130,300,0.1,0.15,1.3e-05,0.1,69015873.30985916
131,300,0.1,0.15,1.3e-05,0.3,26339707.098591547
132,300,0.1,0.15,1.3e-05,0.5,6851234.262910798
133,300,0.1,0.15,1.3e-05,0.7,823299.6995305164
134,300,0.1,0.15,1.3e-05,0.9,1543396.8262910799
135,300,0.2,0.15,1.3e-05,0.1,68855956.6713615
136,300,0.2,0.15,1.3e-05,0.3,25647667.78403756
137,300,0.2,0.15,1.3e-05,0.5,6941642.497652582
138,300,0.2,0.15,1.3e-05,0.7,903827.9530516432
139,300,0.2,0.15,1.3e-05,0.9,1560088.6150234742
140,300,0.3,0.15,1.3e-05,0.1,69506121.55399062
141,300,0.3,0.15,1.3e-05,0.3,25735724.7370892
142,300,0.3,0.15,1.3e-05,0.5,7399951.516431925
143,300,0.3,0.15,1.3e-05,0.7,927030.7417840376
144,300,0.3,0.15,1.3e-05,0.9,1818302.7511737088
145,300,0.5,0.15,1.3e-05,0.1,68440178.08920188
146,300,0.5,0.15,1.3e-05,0.3,24896729.40375587
147,300,0.5,0.15,1.3e-05,0.5,6729837.394366197
148,300,0.5,0.15,1.3e-05,0.7,870128.3943661972
149,300,0.5,0.15,1.3e-05,0.9,1713217.483568075
