,k_0,p_hi,g,q,s,cost
89,100,0.2,0.15,1.3e-05,0.9,18644.272300469485
90,100,0.3,0.15,1.3e-05,0.1,6214.183098591549
91,100,0.3,0.15,1.3e-05,0.3,1791.981220657277
92,100,0.3,0.15,1.3e-05,0.5,2380.737089201878
93,100,0.3,0.15,1.3e-05,0.7,9416.004694835681
94,100,0.3,0.15,1.3e-05,0.9,20842.55399061033
95,100,0.5,0.15,1.3e-05,0.1,5286.150234741784
96,100,0.5,0.15,1.3e-05,0.3,1662.6009389671362
97,100,0.5,0.15,1.3e-05,0.5,2470.521126760563
98,100,0.5,0.15,1.3e-05,0.7,9522.178403755868
99,100,0.5,0.15,1.3e-05,0.9,21561.774647887323
100,200,0.05,0.15,1.3e-05,0.1,14581.122065727699
101,200,0.05,0.15,1.3e-05,0.3,6533.173708920188
102,200,0.05,0.15,1.3e-05,0.5,4528.070422535211
103,200,0.05,0.15,1.3e-05,0.7,5834.370892018779
104,200,0.05,0.15,1.3e-05,0.9,13775.652582159624
105,200,0.1,0.15,1.3e-05,0.1,12634.323943661971
106,200,0.1,0.15,1.3e-05,0.3,7483.31455399061
107,200,0.1,0.15,1.3e-05,0.5,3825.9295774647885
108,200,0.1,0.15,1.3e-05,0.7,5309.887323943662
109,200,0.1,0.15,1.3e-05,0.9,14562.88262910798
110,200,0.2,0.15,1.3e-05,0.1,13814.093896713615
111,200,0.2,0.15,1.3e-05,0.3,6061.075117370892
112,200,0.2,0.15,1.3e-05,0.5,3790.7840375586857
113,200,0.2,0.15,1.3e-05,0.7,4978.356807511737
114,200,0.2,0.15,1.3e-05,0.9,9480.107981220657
115,200,0.3,0.15,1.3e-05,0.1,14477.460093896714
116,200,0.3,0.15,1.3e-05,0.3,5830.347417840376
117,200,0.3,0.15,1.3e-05,0.5,4387.018779342723
118,200,0.3,0.15,1.3e-05,0.7,5226.43661971831
119,200,0.3,0.15,1.3e-05,0.9,12770.93427230047
120,200,0.5,0.15,1.3e-05,0.1,14023.032863849765
121,200,0.5,0.15,1.3e-05,0.3,7222.103286384977
122,200,0.5,0.15,1.3e-05,0.5,4856.615023474178
123,200,0.5,0.15,1.3e-05,0.7,7989.300469483568
124,200,0.5,0.15,1.3e-05,0.9,13507.028169014084
125,300,0.05,0.15,1.3e-05,0.1,17818.084507042255
126,300,0.05,0.15,1.3e-05,0.3,7194.892018779343
127,300,0.05,0.15,1.3e-05,0.5,4589.615023474178
128,300,0.05,0.15,1.3e-05,0.7,7136.408450704225
129,300,0.05,0.15,1.3e-05,0.9,11791.539906103286
130,300,0.1,0.15,1.3e-05,0.1,17104.028169014084
131,300,0.1,0.15,1.3e-05,0.3,8401.948356807512
132,300,0.1,0.15,1.3e-05,0.5,5034.788732394366
133,300,0.1,0.15,1.3e-05,0.7,6178.657276995305
134,300,0.1,0.15,1.3e-05,0.9,9454.62910798122
135,300,0.2,0.15,1.3e-05,0.1,15386.408450704226
136,300,0.2,0.15,1.3e-05,0.3,8486.962441314554
137,300,0.2,0.15,1.3e-05,0.5,5097.460093896713
138,300,0.2,0.15,1.3e-05,0.7,5714.755868544601
139,300,0.2,0.15,1.3e-05,0.9,15940.103286384976
140,300,0.3,0.15,1.3e-05,0.1,16424.413145539907
141,300,0.3,0.15,1.3e-05,0.3,7700.887323943662
142,300,0.3,0.15,1.3e-05,0.5,4726.450704225352
143,300,0.3,0.15,1.3e-05,0.7,8234.276995305165
144,300,0.3,0.15,1.3e-05,0.9,13632.225352112677
145,300,0.5,0.15,1.3e-05,0.1,16392.201877934272
146,300,0.5,0.15,1.3e-05,0.3,8496.30985915493
147,300,0.5,0.15,1.3e-05,0.5,5028.286384976525
148,300,0.5,0.15,1.3e-05,0.7,6892.361502347418
149,300,0.5,0.15,1.3e-05,0.9,11436.352112676057
